metric,baseline,pairs,positive_means_ray_better,mean_improvement,ci95_low,ci95_high,wins,ties,losses,p_two_sided,p_holm
final_recall@5,ray_gpis_novelty_only,64,True,0.0008869791666666644,7.550781250000375e-05,0.0019036458333333284,14,43,7,0.06464958190917969,0.06464958190917969
final_f@5,ray_gpis_novelty_only,64,True,0.0004507927684935884,4.1628004722435315e-05,0.0009709061653125986,14,43,7,0.05950736999511719,0.05950736999511719
final_chamfer_mm,ray_gpis_novelty_only,64,True,0.012335589417489246,-0.0002293361831107176,0.025792896758503048,14,41,9,0.10454297065734863,0.10454297065734863
final_visibility_coverage,ray_gpis_novelty_only,64,True,0.00019808359411527515,-0.00023458319670534604,0.0006679627504036499,11,41,12,0.7539846897125244,0.7539846897125244
visibility_coverage_auc,ray_gpis_novelty_only,64,True,0.00021013848292694465,-6.963595417478055e-05,0.0005803571986389073,13,41,10,0.39307284355163574,0.39307284355163574
recall@5_auc,ray_gpis_novelty_only,64,True,0.0022359895833333407,0.000152273437500002,0.005324898437500017,14,43,7,0.11934185028076172,0.11934185028076172
f@5_auc,ray_gpis_novelty_only,64,True,0.0013772159199477545,7.472686859594397e-05,0.003311453558377148,14,43,7,0.11934185028076172,0.11934185028076172
selected_gain_f@5_per_action,ray_gpis_novelty_only,64,True,9.015855369871699e-05,7.52134052457324e-06,0.00019267453395441616,14,43,7,0.05950736999511719,0.05950736999511719
score_gain_correlation,ray_gpis_novelty_only,64,True,0.05713341272015972,0.015625000000000007,0.10244661386048905,27,24,13,0.02589861064188881,0.02589861064188881
oracle_regret_f@5,ray_gpis_novelty_only,64,True,0.0007280253810876202,3.07677975277122e-06,0.0018000666865460456,14,43,7,0.10321426391601562,0.10321426391601562
oracle_action_accuracy,ray_gpis_novelty_only,64,True,0.028125,0.003125000000000001,0.053125000000000006,10,51,3,0.057373046875,0.057373046875
consecutive_score_map_correlation,ray_gpis_novelty_only,64,True,0.08977321631412988,0.07116166851506354,0.10739865833688625,58,0,6,7.626889064187729e-10,7.626889064187729e-10
planning_time_s,ray_gpis_novelty_only,64,True,-0.005315653240040779,-0.012052376626368193,0.0005028833113385548,21,0,43,0.002735445440198945,0.002735445440198945
