scenario,planner,object,initial_pose_seed,f@5_auc,recall@5_auc,target_recall@5_auc,final_target_recall@5,target_surface_point_count,target_first_25_step,post_outlier_oracle_regret,post_outlier_f@5_auc,post_outlier_unique_gain,ghost_ratio,miss_direction_selection_rate,planning_time_s,mean_visibility_ratio,mean_pose_error_deg,mean_translation_error_mm,cuda_steps,states,actions,gain_consistency_error,scheduled_outlier_events
sparse,ray_gpis,Bowl,15,0.7613576972695104,0.6298333333333334,0.39591836734693875,0.4897959183673469,49,1,0.04348482840474166,0.8136844040050936,0.05630833333333335,nan,1.0,0.26306875600712376,0.9417249417249417,0.0,0.0,5,6,5,0.0,0
sparse,ray_gpis,Bowl,16,0.772167887002119,0.6461533333333334,0.6825174825174825,0.993006993006993,143,1,0.029773828716825573,0.8179797239434325,0.106125,nan,1.0,0.25622997999889774,0.9416206261510128,0.0,0.0,5,6,5,0.0,0
sparse,ray_gpis,Bowl,17,0.7494281364126347,0.6087,0.6504950495049504,0.7425742574257426,101,1,0.08910239762629224,0.7900657826562096,0.02954166666666669,nan,1.0,0.2618369570060167,0.9415829145728644,0.0,0.0,5,6,5,0.0,0
sparse,ray_gpis,Bowl,18,0.6766037892470205,0.5140866666666667,0.8736434108527131,1.0,129,1,0.1712304151900264,0.6989746345674348,0.02186666666666666,nan,1.0,0.2614378461992601,0.9417112299465241,0.0,0.0,5,6,5,0.0,0
sparse,ray_gpis,Bowl,19,0.8192592691012376,0.7055133333333334,0.27254901960784317,0.37254901960784315,51,1,0.07132783114974117,0.8570052868104496,0.008608333333333329,nan,1.0,0.2689319182012696,0.9417512213453589,0.0,0.0,5,6,5,0.0,0
sparse,ray_gpis,Bowl,20,0.8504858576819696,0.7525633333333334,0.4,0.48,125,1,0.032881543701108074,0.8927815906628815,0.03438333333333335,nan,1.0,0.2695600079954602,0.9416666666666668,0.0,0.0,5,6,5,0.0,0
sparse,ray_gpis,Bowl,21,0.8766242685306702,0.80076,0.5543478260869567,0.782608695652174,92,1,0.006544427717186441,0.9288352998396421,0.05649166666666666,nan,1.0,0.26002578279585575,0.9417134831460675,0.0,0.0,5,6,5,0.0,0
sparse,ray_gpis,Bowl,22,0.6912717503081909,0.53941,0.8545454545454545,1.0,66,1,0.0638355216729947,0.7376259055515586,0.07375833333333334,nan,1.0,0.2807220757997129,0.9416666666666668,0.0,0.0,5,6,5,0.0,0
sparse,ray_gpis,Corner,15,0.9310145326830334,0.8891500000000001,0.7378378378378379,1.0,74,1,1.6714547381946332e-05,0.9772714097312477,0.05121666666666666,nan,0.4,0.24089238879969344,0.9416480238627889,0.0,0.0,5,6,5,0.0,0
sparse,ray_gpis,Corner,16,0.911373234908153,0.8631566666666666,0.7027777777777777,1.0,72,1,0.0015129373521255707,0.9694218254782235,0.08108333333333334,nan,0.4,0.23815265000157523,0.9417263325377885,0.0,0.0,5,6,5,0.0,0
sparse,ray_gpis,Corner,17,0.8841215107052957,0.8227633333333333,0.5875,1.0,64,1,0.00015847594548451527,0.947950442871304,0.10796666666666666,nan,0.6,0.2298727420042269,0.9415643474306504,0.0,0.0,5,6,5,0.0,0
sparse,ray_gpis,Corner,18,0.8660667248767779,0.7856033333333333,0.4288888888888889,1.0,90,3,0.01952378967372373,0.9167485182072128,0.074375,nan,0.8,0.22892834439990112,0.9415898111550286,0.0,0.0,5,6,5,0.0,0
sparse,ray_gpis,Corner,19,0.7925256803136613,0.6790033333333333,0.5777777777777777,0.9777777777777777,45,1,0.016024692707443,0.8499716046608626,0.12248333333333333,nan,1.0,0.11946619359659963,0.9415680473372782,0.0,0.0,5,6,5,0.0,0
sparse,ray_gpis,Corner,20,0.859648585691805,0.7785866666666668,0.7527272727272727,0.9090909090909091,55,1,0.010300668275192437,0.9166671952921378,0.10455,nan,0.8,0.23577056000067387,0.941687871077184,0.0,0.0,5,6,5,0.0,0
sparse,ray_gpis,Corner,21,0.9050660377469624,0.8588699999999999,0.5777777777777777,1.0,72,2,4.167569591456699e-06,0.9710430077390153,0.07996666666666666,nan,0.4,0.23307788880192676,0.9415614773258532,0.0,0.0,5,6,5,0.0,0
sparse,ray_gpis,Corner,22,0.9025977405858772,0.84887,0.5421052631578946,1.0,38,2,0.00028809037784949254,0.9590633635109023,0.05990833333333334,nan,0.6,0.2348465081944596,0.9417000445037829,0.0,0.0,5,6,5,0.0,0
sparse,ray_gpis,Cross,15,0.8752846284394715,0.8022400000000001,0.5528301886792453,0.7735849056603774,53,1,2.1000653978864303e-05,0.9284797700971594,0.08959166666666668,nan,0.6,0.2278409639984602,0.9416778824585016,0.0,0.0,5,6,5,0.0,0
sparse,ray_gpis,Cross,16,0.8784609588424047,0.8120499999999999,0.6833333333333333,0.9761904761904762,42,1,0.0,0.9393116172054893,0.09928333333333333,nan,0.6,0.22260659800376742,0.9416445623342176,0.0,0.0,5,6,5,0.0,0
sparse,ray_gpis,Cross,17,0.8262575891039944,0.72732,0.7721311475409836,1.0,61,1,0.0,0.8844139074619723,0.10654166666666667,nan,1.0,0.11239097040088382,0.9416796267496111,0.0,0.0,5,6,5,0.0,0
sparse,ray_gpis,Cross,18,0.9113567168520318,0.8616733333333334,0.571111111111111,1.0,90,3,0.0,0.9667759911977254,0.06560833333333332,nan,0.4,0.21259172439749818,0.9415670650730412,0.0,0.0,5,6,5,0.0,0
sparse,ray_gpis,Cross,19,0.8559918220176448,0.7885366666666667,0.7127659574468086,0.9574468085106383,47,1,0.00014740390498954592,0.9321181127438638,0.11468333333333333,nan,0.6,0.2178158186026849,0.9415724286483576,0.0,0.0,5,6,5,0.0,0
sparse,ray_gpis,Cross,20,0.8539453518917846,0.7774233333333334,0.4984126984126984,0.9841269841269841,63,3,0.0,0.9197595084536927,0.11245,nan,0.6,0.10675891160208266,0.9417587476979742,0.0,0.0,5,6,5,0.0,0
sparse,ray_gpis,Cross,21,0.8732195140732232,0.8003199999999999,0.6925,0.95,80,1,0.000199219122076294,0.9328710178840008,0.09025833333333333,nan,0.6,0.10622710720344912,0.9415670650730412,0.0,0.0,5,6,5,0.0,0
sparse,ray_gpis,Cross,22,0.8656976540648624,0.7907566666666666,0.4982142857142858,0.9107142857142857,56,1,0.01406942759680721,0.9249118644831347,0.08949166666666666,nan,0.6,0.2209619925939478,0.9416666666666668,0.0,0.0,5,6,5,0.0,0
sparse,ray_gpis,Cube,15,0.8949389732820519,0.8274000000000001,0.46144578313253015,0.927710843373494,83,3,0.016045373204783747,0.939903196144011,0.06681666666666666,nan,0.6,0.10926646119914948,0.9417573559048771,0.0,0.0,5,6,5,0.0,0
sparse,ray_gpis,Cube,16,0.9019004268223506,0.8453633333333332,0.5081967213114754,1.0,122,3,0.0007570044944145982,0.9578012305249775,0.08195833333333333,nan,0.4,0.22380037299881222,0.9417077175697864,0.0,0.0,5,6,5,0.0,0
sparse,ray_gpis,Cube,17,0.9089490661052384,0.8598800000000001,0.7938775510204081,1.0,49,1,1.695308394816797e-05,0.9682470697647534,0.08010833333333334,nan,0.4,0.23210155080014375,0.9415735567970205,0.0,0.0,5,6,5,0.0,0
sparse,ray_gpis,Cube,18,0.8720466163595049,0.7971533333333334,0.4271604938271604,0.8888888888888888,81,1,0.0016766002284127057,0.9266957080811788,0.10046666666666668,nan,0.6,0.2173950057971524,0.941623263888889,0.0,0.0,5,6,5,0.0,0
sparse,ray_gpis,Cube,19,0.8461709393789022,0.7651066666666666,0.6446808510638299,0.9574468085106383,47,1,0.0,0.9134552637474007,0.11495,nan,0.8,0.10877128759457264,0.9416543574593796,0.0,0.0,5,6,5,0.0,0
